Mission,Date, Duration (hours) ,Duration (minutes),Spacewalker
Expedition 41,"Tuesday, 7 October 14", 6 ,13,Reid Wiseman
Expedition 41,"Tuesday, 7 October 14", 6 ,13,Alexander Gerst
Expedition 41,"Wednesday, 15 October 14", 6 ,34,Reid Wiseman
Expedition 41,"Wednesday, 15 October 14", 6 ,34,Barry Wilmore
Expedition 41,"Wednesday, 22 October 14", 3 ,38,Max Suraev
Expedition 41,"Wednesday, 22 October 14", 3 ,38,Alexander Samokutyaev
Expedition 42,"Saturday, 21 February 15", 6 ,41,Barry Wilmore
Expedition 42,"Saturday, 21 February 15", 6 ,41,Terry Virts
Expedition 42,"Wednesday, 25 February 15", 6 ,43,Barry Wilmore
Expedition 42,"Wednesday, 25 February 15", 6 ,43,Terry Virts
Expedition 42,"Sunday, 1 March 15", 5 ,38,Barry Wilmore
Expedition 42,"Sunday, 1 March 15", 5 ,38,Terry Virts
Expedition 44,"Monday, 10 August 15", 5 ,31,Gennady Padalka
Expedition 44,"Monday, 10 August 15", 5 ,31,Mikhail Kornienko
Expedition 45,"Wednesday, 28 October 15", 7 ,16,Scott Kelly
Expedition 45,"Wednesday, 28 October 15", 7 ,16,Kjell Lindgren
Expedition 45,"Friday, 6 November 15", 7 ,48,Scott Kelly
Expedition 45,"Friday, 6 November 15", 7 ,48,Kjell Lindgren
Expedition 46,"Monday, 21 December 15", 3 ,16,Scott Kelly
Expedition 46,"Monday, 21 December 15", 3 ,16,Tim Kopra
Expedition 46,"Thursday, 15 January 15", 4 ,43,Tim Kopra
Expedition 46,"Thursday, 15 January 15", 4 ,43,Tim Peake
Expedition 46,"Wednesday, 3 February 16", 4 ,45,Yuri Malenchenko
Expedition 46,"Wednesday, 3 February 16", 4 ,45,Sergey Volkov
Expedition 48,"Friday, 19 August 16", 5 ,58,Jeff Williams
Expedition 48,"Friday, 19 August 16", 5 ,58,Kate Rubins
Expedition 48,"Thursday, 1 September 16", 6 ,48,Jeff Williams
Expedition 48,"Thursday, 1 September 16", 6 ,48,Kate Rubins
Expedition 50,"Friday, 6 January 17", 6 ,32,Shane Kimbrough
